geneId	baseMean_ICP4	log2FoldChange_ICP4	lfcSE_ICP4	stat_ICP4	pvalue_ICP4	padj_ICP4	gene_ICP4	baseMean_n208	log2FoldChange_n208	lfcSE_n208	stat_n208	pvalue_n208	padj_n208	gene_n208	baseMean_n6	log2FoldChange_n6	lfcSE_n6	stat_n6	pvalue_n6	padj_n6	gene_n6	baseMean_RR_LL	log2FoldChange_RR_LL	lfcSE_RR_LL	stat_RR_LL	pvalue_RR_LL	padj_RR_LL	gene_RR_LL	DE_ICP4	DE_n208	DE_n6	DE_RR_LL	seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	external_gene_name
ENSG00000054282	1358.49303021409	0.839535096440034	0.21315241233333	3.93866101373115	8.19375990264309e-05	0.00112487306349667	SDCCAG8	1173.62769061967	0.716603610005946	0.20126543539637	3.5604901984023	0.000370163128909785	0.0027816736298751	SDCCAG8	1946.93874992197	1.10586105751445	0.196445481570008	5.62935349124002	1.80886344221218e-08	3.35703774128201e-07	SDCCAG8	776.495590067862	1.18922828071236	0.163469429492817	7.27492769995025	3.46606035366145e-13	1.07498081299903e-11	SDCCAG8	FALSE	FALSE	FALSE	FALSE	1	243480638	243480704	67	*	KOS_6h_peak_5	64	.	7.75829	12.58843	6.40492	36	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-7111	SDCCAG8
ENSG00000074211	107.033618681548	8.93901832710858	1.72725670893522	5.17526913102518	2.27582687223007e-07	8.43351787207535e-06	PPP2R2C	9.12839945568556	5.88275329075959	1.41360895614457	4.1615138792018	3.1614477966998e-05	0.000342211568882746	PPP2R2C	112.867490367791	8.84290710833557	1.26960762771621	6.96507087330779	3.28238464548638e-12	1.19154450396387e-10	PPP2R2C	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	4	6511738	6511829	92	*	KOS_6h_peak_31	23	.	4.98267	7.75515	2.34349	13	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	11718	PPP2R2C
ENSG00000074211	107.033618681548	8.93901832710858	1.72725670893522	5.17526913102518	2.27582687223007e-07	8.43351787207535e-06	PPP2R2C	9.12839945568556	5.88275329075959	1.41360895614457	4.1615138792018	3.1614477966998e-05	0.000342211568882746	PPP2R2C	112.867490367791	8.84290710833557	1.26960762771621	6.96507087330779	3.28238464548638e-12	1.19154450396387e-10	PPP2R2C	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	4	6512518	6512642	125	*	KOS_6h_peak_32	42	.	6.64996	10.13567	4.25842	4	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10905	PPP2R2C
ENSG00000100207	2015.6300205601	-0.202317071922211	0.129044934570041	-1.56780328182816	0.116927048777114	0.252632297731319	TCF20	2275.51850759882	-0.0198130787977009	0.16784140069117	-0.11804643381258	0.906030866200078	0.948280746471221	TCF20	2713.71526618934	-0.172838511264848	0.220075443766919	-0.785360276032888	0.432242364441958	0.589892073469922	TCF20	1152.43715782053	-0.172663059823969	0.15624423680783	-1.10508434327938	0.269123044117851	0.400735165979263	TCF20	FALSE	FALSE	FALSE	FALSE	22	42323866	42324217	352	*	KOS_6h_peak_28	33	.	3.19121	9.04402	3.35315	244	Intron (ENST00000515426/ENSG00000100207, intron 1 of 1)	22	42211513	42318239	106727	2	ENST00000675876	-5627	TCF20
ENSG00000109654	906.802625384624	0.0324045045810415	0.266173220608237	0.121742166649948	0.903103217434696	0.94664926546683	TRIM2	909.300838995062	-0.0252132615254661	0.23640720587641	-0.106651831664755	0.915065197322064	0.953771026739369	TRIM2	1447.55867817892	0.464038380677067	0.326444474676065	1.42149252529864	0.155173625049587	0.288433109670234	TRIM2	541.405874016763	0.279468367921105	0.22039108750377	1.26805657654521	0.204777747075734	0.327136777359379	TRIM2	FALSE	FALSE	FALSE	FALSE	4	153129468	153129540	73	*	KOS_6h_peak_33	30	.	4.1811	8.67389	3.07723	19	Distal Intergenic	4	153152163	153339311	187149	1	ENST00000676423	-22623	TRIM2
ENSG00000119917	1148.46515286007	-0.873022123764265	0.220321869388871	-3.96248509594557	7.41736388456484e-05	0.00103952907308175	IFIT3	1476.30031588367	-0.569628287958372	0.226320884422935	-2.51690554060352	0.0118390564744421	0.045032557991914	IFIT3	1470.14292349368	-1.16373266595941	0.299869141514209	-3.88080167263316	0.000104112716637541	0.000725677135393701	IFIT3	700.14567904373	-1.03126592812287	0.32607267395852	-3.16268737150926	0.00156320103361813	0.0061871361045716	IFIT3	FALSE	FALSE	FALSE	FALSE	10	89326192	89326241	50	*	KOS_6h_peak_7	77	.	8.69485	14.1913	7.7836	30	Promoter (1-2kb)	10	89327307	89342166	14860	1	ENST00000679781	-1066	IFIT3
ENSG00000130720	1513.54771623599	2.86181994587783	0.26614145966944	10.7530031188389	5.73629781991079e-27	5.9732069198731e-24	FIBCD1	1004.37038068943	2.62524270963738	0.238325085685288	11.0153855692055	3.22154330610344e-28	7.59672534802545e-26	FIBCD1	1734.10452442721	2.84307853080732	0.236914937559345	12.0004190537592	3.53502037565626e-33	7.7388088917683e-31	FIBCD1	654.499711837837	2.95704938242306	0.225819857688323	13.0947269770419	3.52941156327941e-39	1.75336888389099e-36	FIBCD1	TRUE	TRUE	TRUE	TRUE	9	130958652	130958823	172	*	KOS_6h_peak_43	31	.	4.50441	8.76288	3.13862	158	Distal Intergenic	9	130938017	130939286	1270	2	ENST00000463475	-19366	FIBCD1
ENSG00000131591	449.03111522385	-0.259875706326733	0.234205336695067	-1.10960625404146	0.267168735125531	0.441942500216386	C1orf159	505.657479278681	-0.105258843657871	0.2455258934132	-0.428707710598689	0.668135948623892	0.794074697445097	C1orf159	571.317210691915	-0.379876344825089	0.26478656649567	-1.43465112242128	0.151386538899769	0.283431957898215	C1orf159	243.167877081937	-0.434508487531828	0.263546231699176	-1.64869929928574	0.099209253790584	0.186368340396795	C1orf159	FALSE	FALSE	FALSE	FALSE	1	1108871	1108981	111	*	KOS_6h_peak_2	31	.	4.50441	8.76288	3.13862	75	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2744	C1orf159
ENSG00000131591	449.03111522385	-0.259875706326733	0.234205336695067	-1.10960625404146	0.267168735125531	0.441942500216386	C1orf159	505.657479278681	-0.105258843657871	0.2455258934132	-0.428707710598689	0.668135948623892	0.794074697445097	C1orf159	571.317210691915	-0.379876344825089	0.26478656649567	-1.43465112242128	0.151386538899769	0.283431957898215	C1orf159	243.167877081937	-0.434508487531828	0.263546231699176	-1.64869929928574	0.099209253790584	0.186368340396795	C1orf159	FALSE	FALSE	FALSE	FALSE	1	1108336	1108425	90	*	KOS_6h_peak_1	19	.	4.39424	7.35457	1.99955	57	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2209	C1orf159
ENSG00000132199	863.301063635066	-0.447100031227817	0.206051186886991	-2.16984933686904	0.0300182614070566	0.097910777143831	ENOSF1	788.335656867419	-1.21815081300399	0.249163422258416	-4.88896324333114	1.01368418837726e-06	1.71672024957091e-05	ENOSF1	1123.14137131202	-0.559024651322678	0.214759120750805	-2.60303101152729	0.00924035949613281	0.0319077213310853	ENOSF1	460.006634205526	-0.824804348180923	0.20088010879217	-4.10595331285021	4.02650807394359e-05	0.0002569592355204	ENOSF1	FALSE	FALSE	FALSE	FALSE	18	712456	712511	56	*	KOS_6h_peak_18	190	.	13.25266	26.31465	19.09991	41	Promoter (<=1kb)	18	674161	712523	38363	2	ENST00000585128	12	ENOSF1
