geneId	gene	baseMean_n208	log2FoldChange_n208	lfcSE_n208	stat_n208	pvalue_n208	padj_n208	gene_n208	baseMean_n6	log2FoldChange_n6	lfcSE_n6	stat_n6	pvalue_n6	padj_n6	gene_n6	baseMean_RR_LL	log2FoldChange_RR_LL	lfcSE_RR_LL	stat_RR_LL	pvalue_RR_LL	padj_RR_LL	gene_RR_LL	DE_n208	DE_n6	DE_RR_LL	seqnames_2h	start_2h	end_2h	width_2h	strand_2h	V4_2h	V5_2h	V6_2h	V7_2h	V8_2h	V9_2h	V10_2h	annotation_2h	geneChr_2h	geneStart_2h	geneEnd_2h	geneLength_2h	geneStrand_2h	transcriptId_2h	distanceToTSS_2h	external_gene_name_2h	seqnames_4h	start_4h	end_4h	width_4h	strand_4h	V4_4h	V5_4h	V6_4h	V7_4h	V8_4h	V9_4h	V10_4h	annotation_4h	geneChr_4h	geneStart_4h	geneEnd_4h	geneLength_4h	geneStrand_4h	transcriptId_4h	distanceToTSS_4h	external_gene_name_4h	seqnames_6h	start_6h	end_6h	width_6h	strand_6h	V4_6h	V5_6h	V6_6h	V7_6h	V8_6h	V9_6h	V10_6h	annotation_6h	geneChr_6h	geneStart_6h	geneEnd_6h	geneLength_6h	geneStrand_6h	transcriptId_6h	distanceToTSS_6h	external_gene_name_6h
ENSG00000054282	SDCCAG8	2153.76200103044	-0.232703347262512	0.182188740551933	-1.27726525007828	0.201508617541682	0.805859770875215	SDCCAG8	2153.76200103044	-0.178041892460139	0.221053909806788	-0.805422951422829	0.420575651727482	0.929651409247372	SDCCAG8	2153.76200103044	-0.138833540611929	0.224948436304148	-0.617179398500976	0.537116402695785	0.999855349557366	SDCCAG8	FALSE	FALSE	FALSE	1	243480253	243481106	854	*	KOS_2h_peak_1623	661	.	18.66761	71.34452	66.10787	424	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-6709	SDCCAG8	1	243480553	243480901	349	*	KOS_4h_peak_143	285	.	14.56676	34.77649	28.54584	124	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-6914	SDCCAG8	1	243480638	243480704	67	*	KOS_6h_peak_5	64	.	7.75829	12.58843	6.40492	36	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-7111	SDCCAG8
ENSG00000054282	SDCCAG8	2153.76200103044	-0.232703347262512	0.182188740551933	-1.27726525007828	0.201508617541682	0.805859770875215	SDCCAG8	2153.76200103044	-0.178041892460139	0.221053909806788	-0.805422951422829	0.420575651727482	0.929651409247372	SDCCAG8	2153.76200103044	-0.138833540611929	0.224948436304148	-0.617179398500976	0.537116402695785	0.999855349557366	SDCCAG8	FALSE	FALSE	FALSE	1	243480253	243481106	854	*	KOS_2h_peak_1623	661	.	18.66761	71.34452	66.10787	424	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-6709	SDCCAG8	1	243480247	243480484	238	*	KOS_4h_peak_142	63	.	7.27877	11.19592	6.37488	27	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-7331	SDCCAG8	1	243480638	243480704	67	*	KOS_6h_peak_5	64	.	7.75829	12.58843	6.40492	36	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-7111	SDCCAG8
ENSG00000074211	PPP2R2C	134.062472920019	1.24250749523596	0.54661541680383	2.27309266632315	0.0230205962825554	0.417627996453373	PPP2R2C	134.062472920019	0.558913223794931	0.615188737494441	0.90852317302051	0.363601876312842	0.920460726114146	PPP2R2C	134.062472920019	0.776310297755132	0.761559564051259	1.01936911359291	0.308027763667057	0.999855349557366	PPP2R2C	FALSE	FALSE	FALSE	4	6562979	6563311	333	*	KOS_2h_peak_11855	120	.	5.65136	15.59191	12.02994	204	Promoter (<=1kb)	4	6322944	6563600	240657	2	ENST00000506140	289	PPP2R2C	4	6511348	6512823	1476	*	KOS_4h_peak_1100	324	.	15.72622	38.85535	32.42144	398	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10724	PPP2R2C	4	6512518	6512642	125	*	KOS_6h_peak_32	42	.	6.64996	10.13567	4.25842	4	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10905	PPP2R2C
ENSG00000074211	PPP2R2C	134.062472920019	1.24250749523596	0.54661541680383	2.27309266632315	0.0230205962825554	0.417627996453373	PPP2R2C	134.062472920019	0.558913223794931	0.615188737494441	0.90852317302051	0.363601876312842	0.920460726114146	PPP2R2C	134.062472920019	0.776310297755132	0.761559564051259	1.01936911359291	0.308027763667057	0.999855349557366	PPP2R2C	FALSE	FALSE	FALSE	4	6563848	6564205	358	*	KOS_2h_peak_11856	22	.	3.41801	5.09657	2.23103	207	Promoter (<=1kb)	4	6322944	6563600	240657	2	ENST00000506140	-248	PPP2R2C	4	6511348	6512823	1476	*	KOS_4h_peak_1100	324	.	15.72622	38.85535	32.42144	398	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10724	PPP2R2C	4	6512518	6512642	125	*	KOS_6h_peak_32	42	.	6.64996	10.13567	4.25842	4	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10905	PPP2R2C
ENSG00000074211	PPP2R2C	134.062472920019	1.24250749523596	0.54661541680383	2.27309266632315	0.0230205962825554	0.417627996453373	PPP2R2C	134.062472920019	0.558913223794931	0.615188737494441	0.90852317302051	0.363601876312842	0.920460726114146	PPP2R2C	134.062472920019	0.776310297755132	0.761559564051259	1.01936911359291	0.308027763667057	0.999855349557366	PPP2R2C	FALSE	FALSE	FALSE	4	6563848	6564205	358	*	KOS_2h_peak_11856	22	.	3.41801	5.09657	2.23103	207	Promoter (<=1kb)	4	6322944	6563600	240657	2	ENST00000506140	-248	PPP2R2C	4	6511348	6512823	1476	*	KOS_4h_peak_1100	324	.	15.72622	38.85535	32.42144	398	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10724	PPP2R2C	4	6511738	6511829	92	*	KOS_6h_peak_31	23	.	4.98267	7.75515	2.34349	13	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	11718	PPP2R2C
ENSG00000074211	PPP2R2C	134.062472920019	1.24250749523596	0.54661541680383	2.27309266632315	0.0230205962825554	0.417627996453373	PPP2R2C	134.062472920019	0.558913223794931	0.615188737494441	0.90852317302051	0.363601876312842	0.920460726114146	PPP2R2C	134.062472920019	0.776310297755132	0.761559564051259	1.01936911359291	0.308027763667057	0.999855349557366	PPP2R2C	FALSE	FALSE	FALSE	4	6511291	6512950	1660	*	KOS_2h_peak_11854	1110	.	26.81826	117.5249	111.05406	1172	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10597	PPP2R2C	4	6511348	6512823	1476	*	KOS_4h_peak_1100	324	.	15.72622	38.85535	32.42144	398	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10724	PPP2R2C	4	6512518	6512642	125	*	KOS_6h_peak_32	42	.	6.64996	10.13567	4.25842	4	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10905	PPP2R2C
ENSG00000074211	PPP2R2C	134.062472920019	1.24250749523596	0.54661541680383	2.27309266632315	0.0230205962825554	0.417627996453373	PPP2R2C	134.062472920019	0.558913223794931	0.615188737494441	0.90852317302051	0.363601876312842	0.920460726114146	PPP2R2C	134.062472920019	0.776310297755132	0.761559564051259	1.01936911359291	0.308027763667057	0.999855349557366	PPP2R2C	FALSE	FALSE	FALSE	4	6511291	6512950	1660	*	KOS_2h_peak_11854	1110	.	26.81826	117.5249	111.05406	1172	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10597	PPP2R2C	4	6511348	6512823	1476	*	KOS_4h_peak_1100	324	.	15.72622	38.85535	32.42144	398	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10724	PPP2R2C	4	6511738	6511829	92	*	KOS_6h_peak_31	23	.	4.98267	7.75515	2.34349	13	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	11718	PPP2R2C
ENSG00000074211	PPP2R2C	134.062472920019	1.24250749523596	0.54661541680383	2.27309266632315	0.0230205962825554	0.417627996453373	PPP2R2C	134.062472920019	0.558913223794931	0.615188737494441	0.90852317302051	0.363601876312842	0.920460726114146	PPP2R2C	134.062472920019	0.776310297755132	0.761559564051259	1.01936911359291	0.308027763667057	0.999855349557366	PPP2R2C	FALSE	FALSE	FALSE	4	6562979	6563311	333	*	KOS_2h_peak_11855	120	.	5.65136	15.59191	12.02994	204	Promoter (<=1kb)	4	6322944	6563600	240657	2	ENST00000506140	289	PPP2R2C	4	6511348	6512823	1476	*	KOS_4h_peak_1100	324	.	15.72622	38.85535	32.42144	398	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10724	PPP2R2C	4	6511738	6511829	92	*	KOS_6h_peak_31	23	.	4.98267	7.75515	2.34349	13	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	11718	PPP2R2C
ENSG00000075043	KCNQ2	5.54806911857721	4.89186272256482	1.96694480257469	2.48703609585865	0.0128812328727134	NA	KCNQ2	5.54806911857721	-2.25137695034599	1.90805393158737	-1.17993360306802	0.238026623746934	NA	KCNQ2	5.54806911857721	1.33150009326215	2.70287342484228	0.492623916837631	0.622278345607937	NA	KCNQ2	NA	NA	FALSE	20	63442310	63443693	1384	*	KOS_2h_peak_10246	928	.	18.7771	98.78904	92.87176	984	Promoter (1-2kb)	20	63438689	63445576	6888	2	ENST00000630274	1883	KCNQ2	20	63442412	63443573	1162	*	KOS_4h_peak_945	396	.	18.5184	46.58577	39.6448	408	Promoter (2-3kb)	20	63438689	63445576	6888	2	ENST00000630274	2003	KCNQ2	20	63443281	63443361	81	*	KOS_6h_peak_26	53	.	6.58753	11.42354	5.37104	21	Promoter (2-3kb)	20	63438689	63445576	6888	2	ENST00000630274	2215	KCNQ2
ENSG00000075043	KCNQ2	5.54806911857721	4.89186272256482	1.96694480257469	2.48703609585865	0.0128812328727134	NA	KCNQ2	5.54806911857721	-2.25137695034599	1.90805393158737	-1.17993360306802	0.238026623746934	NA	KCNQ2	5.54806911857721	1.33150009326215	2.70287342484228	0.492623916837631	0.622278345607937	NA	KCNQ2	NA	NA	FALSE	20	63442310	63443693	1384	*	KOS_2h_peak_10246	928	.	18.7771	98.78904	92.87176	984	Promoter (1-2kb)	20	63438689	63445576	6888	2	ENST00000630274	1883	KCNQ2	20	63443624	63443738	115	*	KOS_4h_peak_946	46	.	5.69843	9.24136	4.60994	76	Promoter (1-2kb)	20	63438689	63445576	6888	2	ENST00000630274	1838	KCNQ2	20	63443281	63443361	81	*	KOS_6h_peak_26	53	.	6.58753	11.42354	5.37104	21	Promoter (2-3kb)	20	63438689	63445576	6888	2	ENST00000630274	2215	KCNQ2
