geneId	gene	baseMean_n208	log2FoldChange_n208	lfcSE_n208	stat_n208	pvalue_n208	padj_n208	gene_n208	baseMean_n6	log2FoldChange_n6	lfcSE_n6	stat_n6	pvalue_n6	padj_n6	gene_n6	baseMean_RR_LL	log2FoldChange_RR_LL	lfcSE_RR_LL	stat_RR_LL	pvalue_RR_LL	padj_RR_LL	gene_RR_LL	DE_n208	DE_n6	DE_RR_LL	seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	external_gene_name
ENSG00000054282	SDCCAG8	2153.76200103044	-0.232703347262512	0.182188740551933	-1.27726525007828	0.201508617541682	0.805859770875215	SDCCAG8	2153.76200103044	-0.178041892460139	0.221053909806788	-0.805422951422829	0.420575651727482	0.929651409247372	SDCCAG8	2153.76200103044	-0.138833540611929	0.224948436304148	-0.617179398500976	0.537116402695785	0.999855349557366	SDCCAG8	FALSE	FALSE	FALSE	1	243480638	243480704	67	*	KOS_6h_peak_5	64	.	7.75829	12.58843	6.40492	36	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-7111	SDCCAG8
ENSG00000074211	PPP2R2C	134.062472920019	1.24250749523596	0.54661541680383	2.27309266632315	0.0230205962825554	0.417627996453373	PPP2R2C	134.062472920019	0.558913223794931	0.615188737494441	0.90852317302051	0.363601876312842	0.920460726114146	PPP2R2C	134.062472920019	0.776310297755132	0.761559564051259	1.01936911359291	0.308027763667057	0.999855349557366	PPP2R2C	FALSE	FALSE	FALSE	4	6511738	6511829	92	*	KOS_6h_peak_31	23	.	4.98267	7.75515	2.34349	13	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	11718	PPP2R2C
ENSG00000074211	PPP2R2C	134.062472920019	1.24250749523596	0.54661541680383	2.27309266632315	0.0230205962825554	0.417627996453373	PPP2R2C	134.062472920019	0.558913223794931	0.615188737494441	0.90852317302051	0.363601876312842	0.920460726114146	PPP2R2C	134.062472920019	0.776310297755132	0.761559564051259	1.01936911359291	0.308027763667057	0.999855349557366	PPP2R2C	FALSE	FALSE	FALSE	4	6512518	6512642	125	*	KOS_6h_peak_32	42	.	6.64996	10.13567	4.25842	4	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10905	PPP2R2C
ENSG00000075043	KCNQ2	5.54806911857721	4.89186272256482	1.96694480257469	2.48703609585865	0.0128812328727134	NA	KCNQ2	5.54806911857721	-2.25137695034599	1.90805393158737	-1.17993360306802	0.238026623746934	NA	KCNQ2	5.54806911857721	1.33150009326215	2.70287342484228	0.492623916837631	0.622278345607937	NA	KCNQ2	NA	NA	FALSE	20	63443281	63443361	81	*	KOS_6h_peak_26	53	.	6.58753	11.42354	5.37104	21	Promoter (2-3kb)	20	63438689	63445576	6888	2	ENST00000630274	2215	KCNQ2
ENSG00000100207	TCF20	2566.53648854272	-0.128026938004145	0.218007529094831	-0.587259249878728	0.557029604873715	0.93429705251422	TCF20	2566.53648854272	0.259396839829311	0.266410155476506	0.973674743612343	0.330218061455581	0.909755244911557	TCF20	2566.53648854272	0.0468838974745659	0.269544001798747	0.173937825222212	0.861914325475278	0.999855349557366	TCF20	FALSE	FALSE	FALSE	22	42323866	42324217	352	*	KOS_6h_peak_28	33	.	3.19121	9.04402	3.35315	244	Intron (ENST00000515426/ENSG00000100207, intron 1 of 1)	22	42211513	42318239	106727	2	ENST00000675876	-5627	TCF20
ENSG00000109654	TRIM2	1309.01212845923	-0.248187121005798	0.237616582552106	-1.04448569346533	0.296260734881329	0.865563295110819	TRIM2	1309.01212845923	0.233570851642204	0.288732746780701	0.808951718315503	0.418542918596385	0.928777075385569	TRIM2	1309.01212845923	0.0642697247110713	0.293152572337484	0.219236434456671	0.826465875181648	0.999855349557366	TRIM2	FALSE	FALSE	FALSE	4	153129468	153129540	73	*	KOS_6h_peak_33	30	.	4.1811	8.67389	3.07723	19	Distal Intergenic	4	153152163	153339311	187149	1	ENST00000676423	-22623	TRIM2
ENSG00000119917	IFIT3	1171.13134967883	-0.028701215593378	0.266571023330693	-0.107668175013054	0.914258915381169	0.989013606196462	IFIT3	1171.13134967883	0.0434496357585851	0.325619726608764	0.133436742948901	0.893847988543782	0.991550170161254	IFIT3	1171.13134967883	0.317745719225786	0.331246135020015	0.959243552250313	0.33743606475635	0.999855349557366	IFIT3	FALSE	FALSE	FALSE	10	89326192	89326241	50	*	KOS_6h_peak_7	77	.	8.69485	14.1913	7.7836	30	Promoter (1-2kb)	10	89327307	89342166	14860	1	ENST00000679781	-1066	IFIT3
ENSG00000130720	FIBCD1	2505.88602713982	0.0372318089758031	0.190250195757916	0.195699188783904	0.844845619390583	0.982819727637514	FIBCD1	2505.88602713982	-0.368724602430434	0.231719095525321	-1.59125686898835	0.111551779166005	0.819304998535495	FIBCD1	2505.88602713982	0.262165587113297	0.234794081848201	1.11657664047424	0.264175384077489	0.999855349557366	FIBCD1	FALSE	FALSE	FALSE	9	130958652	130958823	172	*	KOS_6h_peak_43	31	.	4.50441	8.76288	3.13862	158	Distal Intergenic	9	130938017	130939286	1270	2	ENST00000463475	-19366	FIBCD1
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1108871	1108981	111	*	KOS_6h_peak_2	31	.	4.50441	8.76288	3.13862	75	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2744	C1orf159
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1108336	1108425	90	*	KOS_6h_peak_1	19	.	4.39424	7.35457	1.99955	57	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2209	C1orf159
