"geneId"	"seqnames_2h"	"start_2h"	"end_2h"	"width_2h"	"strand_2h"	"V4_2h"	"V5_2h"	"V6_2h"	"V7_2h"	"V8_2h"	"V9_2h"	"V10_2h"	"annotation_2h"	"geneChr_2h"	"geneStart_2h"	"geneEnd_2h"	"geneLength_2h"	"geneStrand_2h"	"transcriptId_2h"	"distanceToTSS_2h"	"external_gene_name_2h"	"seqnames_4h"	"start_4h"	"end_4h"	"width_4h"	"strand_4h"	"V4_4h"	"V5_4h"	"V6_4h"	"V7_4h"	"V8_4h"	"V9_4h"	"V10_4h"	"annotation_4h"	"geneChr_4h"	"geneStart_4h"	"geneEnd_4h"	"geneLength_4h"	"geneStrand_4h"	"transcriptId_4h"	"distanceToTSS_4h"	"external_gene_name_4h"	"seqnames_6h"	"start_6h"	"end_6h"	"width_6h"	"strand_6h"	"V4_6h"	"V5_6h"	"V6_6h"	"V7_6h"	"V8_6h"	"V9_6h"	"V10_6h"	"annotation_6h"	"geneChr_6h"	"geneStart_6h"	"geneEnd_6h"	"geneLength_6h"	"geneStrand_6h"	"transcriptId_6h"	"distanceToTSS_6h"	"external_gene_name_6h"
"1"	"ENSG00000015568"	"2"	109807843	109808144	302	"*"	"KOS_2h_peak_9271"	42	"."	3.70704	7.33479	4.25879	71	"Promoter (<=1kb)"	2	109808237	109813771	5535	1	"ENST00000495473"	-93	"RGPD5"	"2"	109794225	109794538	314	"*"	"KOS_4h_peak_863"	485	"."	16.08435	56.13453	48.58781	137	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"	"2"	109794313	109794370	58	"*"	"KOS_6h_peak_23"	59	"."	5.45271	12.07323	5.94338	35	"Promoter (<=1kb)"	2	109794305	109857705	63401	1	"ENST00000016946"	8	"RGPD5"
"2"	"ENSG00000015568"	"2"	109794121	109794595	475	"*"	"KOS_2h_peak_9270"	1371	"."	16.14207	144.51805	137.17297	226	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"	"2"	109794225	109794538	314	"*"	"KOS_4h_peak_863"	485	"."	16.08435	56.13453	48.58781	137	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"	"2"	109794313	109794370	58	"*"	"KOS_6h_peak_23"	59	"."	5.45271	12.07323	5.94338	35	"Promoter (<=1kb)"	2	109794305	109857705	63401	1	"ENST00000016946"	8	"RGPD5"
"3"	"ENSG00000054282"	"1"	243480253	243481106	854	"*"	"KOS_2h_peak_1623"	661	"."	18.66761	71.34452	66.10787	424	"Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)"	1	243487815	243500089	12275	1	"ENST00000497459"	-6709	"SDCCAG8"	"1"	243480553	243480901	349	"*"	"KOS_4h_peak_143"	285	"."	14.56676	34.77649	28.54584	124	"Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)"	1	243487815	243500089	12275	1	"ENST00000497459"	-6914	"SDCCAG8"	"1"	243480638	243480704	67	"*"	"KOS_6h_peak_5"	64	"."	7.75829	12.58843	6.40492	36	"Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)"	1	243487815	243500089	12275	1	"ENST00000497459"	-7111	"SDCCAG8"
"4"	"ENSG00000054282"	"1"	243480253	243481106	854	"*"	"KOS_2h_peak_1623"	661	"."	18.66761	71.34452	66.10787	424	"Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)"	1	243487815	243500089	12275	1	"ENST00000497459"	-6709	"SDCCAG8"	"1"	243480247	243480484	238	"*"	"KOS_4h_peak_142"	63	"."	7.27877	11.19592	6.37488	27	"Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)"	1	243487815	243500089	12275	1	"ENST00000497459"	-7331	"SDCCAG8"	"1"	243480638	243480704	67	"*"	"KOS_6h_peak_5"	64	"."	7.75829	12.58843	6.40492	36	"Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)"	1	243487815	243500089	12275	1	"ENST00000497459"	-7111	"SDCCAG8"
"5"	"ENSG00000074211"	"4"	6511291	6512950	1660	"*"	"KOS_2h_peak_11854"	1110	"."	26.81826	117.5249	111.05406	1172	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10597	"PPP2R2C"	"4"	6511348	6512823	1476	"*"	"KOS_4h_peak_1100"	324	"."	15.72622	38.85535	32.42144	398	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10724	"PPP2R2C"	"4"	6512518	6512642	125	"*"	"KOS_6h_peak_32"	42	"."	6.64996	10.13567	4.25842	4	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10905	"PPP2R2C"
"6"	"ENSG00000074211"	"4"	6511291	6512950	1660	"*"	"KOS_2h_peak_11854"	1110	"."	26.81826	117.5249	111.05406	1172	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10597	"PPP2R2C"	"4"	6511348	6512823	1476	"*"	"KOS_4h_peak_1100"	324	"."	15.72622	38.85535	32.42144	398	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10724	"PPP2R2C"	"4"	6511738	6511829	92	"*"	"KOS_6h_peak_31"	23	"."	4.98267	7.75515	2.34349	13	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	11718	"PPP2R2C"
"7"	"ENSG00000074211"	"4"	6562979	6563311	333	"*"	"KOS_2h_peak_11855"	120	"."	5.65136	15.59191	12.02994	204	"Promoter (<=1kb)"	4	6322944	6563600	240657	2	"ENST00000506140"	289	"PPP2R2C"	"4"	6511348	6512823	1476	"*"	"KOS_4h_peak_1100"	324	"."	15.72622	38.85535	32.42144	398	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10724	"PPP2R2C"	"4"	6512518	6512642	125	"*"	"KOS_6h_peak_32"	42	"."	6.64996	10.13567	4.25842	4	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10905	"PPP2R2C"
"8"	"ENSG00000074211"	"4"	6562979	6563311	333	"*"	"KOS_2h_peak_11855"	120	"."	5.65136	15.59191	12.02994	204	"Promoter (<=1kb)"	4	6322944	6563600	240657	2	"ENST00000506140"	289	"PPP2R2C"	"4"	6511348	6512823	1476	"*"	"KOS_4h_peak_1100"	324	"."	15.72622	38.85535	32.42144	398	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10724	"PPP2R2C"	"4"	6511738	6511829	92	"*"	"KOS_6h_peak_31"	23	"."	4.98267	7.75515	2.34349	13	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	11718	"PPP2R2C"
"9"	"ENSG00000074211"	"4"	6563848	6564205	358	"*"	"KOS_2h_peak_11856"	22	"."	3.41801	5.09657	2.23103	207	"Promoter (<=1kb)"	4	6322944	6563600	240657	2	"ENST00000506140"	-248	"PPP2R2C"	"4"	6511348	6512823	1476	"*"	"KOS_4h_peak_1100"	324	"."	15.72622	38.85535	32.42144	398	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10724	"PPP2R2C"	"4"	6512518	6512642	125	"*"	"KOS_6h_peak_32"	42	"."	6.64996	10.13567	4.25842	4	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10905	"PPP2R2C"
"10"	"ENSG00000074211"	"4"	6563848	6564205	358	"*"	"KOS_2h_peak_11856"	22	"."	3.41801	5.09657	2.23103	207	"Promoter (<=1kb)"	4	6322944	6563600	240657	2	"ENST00000506140"	-248	"PPP2R2C"	"4"	6511348	6512823	1476	"*"	"KOS_4h_peak_1100"	324	"."	15.72622	38.85535	32.42144	398	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10724	"PPP2R2C"	"4"	6511738	6511829	92	"*"	"KOS_6h_peak_31"	23	"."	4.98267	7.75515	2.34349	13	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	11718	"PPP2R2C"
